Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
less than 0 DM,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,real estate,67,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,194.83333333333334,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,22,None,own,1,skilled employee /official,1,None,yes,1,123.97916666666667,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),education,less than 100DM,4 less than and equal and less than 7 years,2,None,3,real estate,49,None,own,1,unskilled-resident,2,None,yes,0,174.66666666666666,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,2,guarantor,4,if not real estate : building society savings agreement/life insurance,45,None,for free,1,skilled employee /official,2,None,yes,0,187.66666666666666,male , single
less than 0 DM,delay in paying off in the past,car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,4,unknown/no property,53,None,for free,2,skilled employee /official,2,None,yes,1,202.91666666666666,male , single
no checking account,existing credits paind back duly till now,education,unknown / no savings account,1 less than or equal and less than 4 years,2,None,4,unknown/no property,35,None,for free,1,unskilled-resident,2,"yes, registered under the customers name",yes,0,251.52777777777777,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,500 less than or equal and 1000 DM,bigger than or equal 7 years,3,None,4,if not real estate : building society savings agreement/life insurance,53,None,own,1,skilled employee /official,1,None,yes,0,118.125,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",35,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,193.0,male , single
no checking account,existing credits paind back duly till now,radio/television,bigger than or equal 1000 DM,4 less than and equal and less than 7 years,2,None,4,real estate,61,None,own,1,unskilled-resident,1,None,yes,0,254.91666666666666,male , divorced/separated
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,unemployed,4,None,2,"if not others options : car or other, not in savings accounts/bonds",28,None,own,2,management/self-employed/highly qualified employee/officer,1,None,yes,1,174.46666666666667,male , married/windowed
